Time,IMF_Bz_nT,Kp_code,Dst_nT,PlotTime,Kp
2024-10-10T00:30:00Z,-0.5,20,-32,2024-10-10T00:00:00Z,2.0
2024-10-10T01:30:00Z,-1.9,20,-32,2024-10-10T01:00:00Z,2.0
2024-10-10T02:30:00Z,-1.5,20,-32,2024-10-10T02:00:00Z,2.0
2024-10-10T03:30:00Z,-0.7,27,-32,2024-10-10T03:00:00Z,2.6666666666666665
2024-10-10T04:30:00Z,-0.2,27,-30,2024-10-10T04:00:00Z,2.6666666666666665
2024-10-10T05:30:00Z,0.7,27,-24,2024-10-10T05:00:00Z,2.6666666666666665
2024-10-10T06:30:00Z,1.0,13,-18,2024-10-10T06:00:00Z,1.3333333333333333
2024-10-10T07:30:00Z,2.6,13,-14,2024-10-10T07:00:00Z,1.3333333333333333
2024-10-10T08:30:00Z,1.7,13,-12,2024-10-10T08:00:00Z,1.3333333333333333
2024-10-10T09:30:00Z,0.0,27,-9,2024-10-10T09:00:00Z,2.6666666666666665
2024-10-10T10:30:00Z,-2.4,27,-11,2024-10-10T10:00:00Z,2.6666666666666665
2024-10-10T11:30:00Z,-1.5,27,-9,2024-10-10T11:00:00Z,2.6666666666666665
2024-10-10T12:30:00Z,-5.1,37,-6,2024-10-10T12:00:00Z,3.6666666666666665
2024-10-10T13:30:00Z,-1.8,37,-12,2024-10-10T13:00:00Z,3.6666666666666665
2024-10-10T14:30:00Z,3.7,37,-13,2024-10-10T14:00:00Z,3.6666666666666665
2024-10-10T15:30:00Z,2.2,77,47,2024-10-10T15:00:00Z,7.666666666666667
2024-10-10T16:30:00Z,-10.1,77,11,2024-10-10T16:00:00Z,7.666666666666667
2024-10-10T17:30:00Z,-3.9,77,-50,2024-10-10T17:00:00Z,7.666666666666667
2024-10-10T18:30:00Z,-12.6,83,-112,2024-10-10T18:00:00Z,8.333333333333334
2024-10-10T19:30:00Z,-11.4,83,-176,2024-10-10T19:00:00Z,8.333333333333334
2024-10-10T20:30:00Z,-18.9,83,-201,2024-10-10T20:00:00Z,8.333333333333334
2024-10-10T21:30:00Z,-8.2,87,-220,2024-10-10T21:00:00Z,8.666666666666666
2024-10-10T22:30:00Z,-22.1,87,-243,2024-10-10T22:00:00Z,8.666666666666666
2024-10-10T23:30:00Z,-42.2,87,-303,2024-10-10T23:00:00Z,8.666666666666666
2024-10-11T00:30:00Z,-39.4,83,-309,2024-10-11T00:00:00Z,8.333333333333334
2024-10-11T01:30:00Z,-27.6,83,-333,2024-10-11T01:00:00Z,8.333333333333334
2024-10-11T02:30:00Z,-28.5,83,-296,2024-10-11T02:00:00Z,8.333333333333334
2024-10-11T03:30:00Z,-28.9,77,-283,2024-10-11T03:00:00Z,7.666666666666667
2024-10-11T04:30:00Z,-28.9,77,-276,2024-10-11T04:00:00Z,7.666666666666667
2024-10-11T05:30:00Z,-25.9,77,-270,2024-10-11T05:00:00Z,7.666666666666667
2024-10-11T06:30:00Z,-18.1,77,-270,2024-10-11T06:00:00Z,7.666666666666667
2024-10-11T07:30:00Z,-18.1,77,-261,2024-10-11T07:00:00Z,7.666666666666667
2024-10-11T08:30:00Z,-19.8,77,-244,2024-10-11T08:00:00Z,7.666666666666667
2024-10-11T09:30:00Z,-18.4,77,-259,2024-10-11T09:00:00Z,7.666666666666667
2024-10-11T10:30:00Z,-2.4,77,-224,2024-10-11T10:00:00Z,7.666666666666667
2024-10-11T11:30:00Z,1.8,77,-209,2024-10-11T11:00:00Z,7.666666666666667
2024-10-11T12:30:00Z,-0.1,63,-189,2024-10-11T12:00:00Z,6.333333333333333
2024-10-11T13:30:00Z,-4.1,63,-179,2024-10-11T13:00:00Z,6.333333333333333
2024-10-11T14:30:00Z,0.4,63,-169,2024-10-11T14:00:00Z,6.333333333333333
2024-10-11T15:30:00Z,2.4,40,-146,2024-10-11T15:00:00Z,4.0
2024-10-11T16:30:00Z,1.2,40,-134,2024-10-11T16:00:00Z,4.0
2024-10-11T17:30:00Z,2.1,40,-118,2024-10-11T17:00:00Z,4.0
2024-10-11T18:30:00Z,2.0,30,-109,2024-10-11T18:00:00Z,3.0
2024-10-11T19:30:00Z,1.8,30,-102,2024-10-11T19:00:00Z,3.0
2024-10-11T20:30:00Z,3.1,30,-98,2024-10-11T20:00:00Z,3.0
2024-10-11T21:30:00Z,3.4,33,-94,2024-10-11T21:00:00Z,3.3333333333333335
2024-10-11T22:30:00Z,5.9,33,-90,2024-10-11T22:00:00Z,3.3333333333333335
2024-10-11T23:30:00Z,8.9,33,-74,2024-10-11T23:00:00Z,3.3333333333333335
2024-10-12T00:30:00Z,8.7,33,-68,2024-10-12T00:00:00Z,3.3333333333333335
2024-10-12T01:30:00Z,7.6,33,-71,2024-10-12T01:00:00Z,3.3333333333333335
2024-10-12T02:30:00Z,7.5,33,-72,2024-10-12T02:00:00Z,3.3333333333333335
2024-10-12T03:30:00Z,7.1,17,-77,2024-10-12T03:00:00Z,1.6666666666666665
2024-10-12T04:30:00Z,7.8,17,-76,2024-10-12T04:00:00Z,1.6666666666666665
2024-10-12T05:30:00Z,6.8,17,-74,2024-10-12T05:00:00Z,1.6666666666666665
2024-10-12T06:30:00Z,3.2,23,-66,2024-10-12T06:00:00Z,2.3333333333333335
2024-10-12T07:30:00Z,5.0,23,-70,2024-10-12T07:00:00Z,2.3333333333333335
2024-10-12T08:30:00Z,4.9,23,-67,2024-10-12T08:00:00Z,2.3333333333333335
2024-10-12T09:30:00Z,-2.6,47,-63,2024-10-12T09:00:00Z,4.666666666666667
2024-10-12T10:30:00Z,-4.3,47,-67,2024-10-12T10:00:00Z,4.666666666666667
2024-10-12T11:30:00Z,4.2,47,-75,2024-10-12T11:00:00Z,4.666666666666667
2024-10-12T12:30:00Z,-0.9,40,-55,2024-10-12T12:00:00Z,4.0
2024-10-12T13:30:00Z,-0.9,40,-55,2024-10-12T13:00:00Z,4.0
2024-10-12T14:30:00Z,0.4,40,-55,2024-10-12T14:00:00Z,4.0
2024-10-12T15:30:00Z,2.3,30,-64,2024-10-12T15:00:00Z,3.0
2024-10-12T16:30:00Z,2.9,30,-62,2024-10-12T16:00:00Z,3.0
2024-10-12T17:30:00Z,2.2,30,-55,2024-10-12T17:00:00Z,3.0
2024-10-12T18:30:00Z,1.5,30,-52,2024-10-12T18:00:00Z,3.0
2024-10-12T19:30:00Z,-1.7,30,-45,2024-10-12T19:00:00Z,3.0
2024-10-12T20:30:00Z,-0.7,30,-40,2024-10-12T20:00:00Z,3.0
2024-10-12T21:30:00Z,1.3,27,-42,2024-10-12T21:00:00Z,2.6666666666666665
2024-10-12T22:30:00Z,2.0,27,-44,2024-10-12T22:00:00Z,2.6666666666666665
2024-10-12T23:30:00Z,0.8,27,-41,2024-10-12T23:00:00Z,2.6666666666666665
