Time,IMF_Bz_nT,Kp_code,Dst_nT,PlotTime,Kp
2024-05-11T15:30:00Z,-14.6,83,-265,2024-05-11T15:00:00Z,8.333333333333334
2024-05-11T16:30:00Z,-7.9,83,-270,2024-05-11T16:00:00Z,8.333333333333334
2024-05-11T17:30:00Z,-4.6,83,-248,2024-05-11T17:00:00Z,8.333333333333334
2024-05-11T18:30:00Z,2.0,77,-203,2024-05-11T18:00:00Z,7.666666666666667
2024-05-11T19:30:00Z,0.8,77,-198,2024-05-11T19:00:00Z,7.666666666666667
2024-05-11T20:30:00Z,0.2,77,-190,2024-05-11T20:00:00Z,7.666666666666667
2024-05-11T21:30:00Z,0.9,77,-169,2024-05-11T21:00:00Z,7.666666666666667
2024-05-11T22:30:00Z,8.0,77,-157,2024-05-11T22:00:00Z,7.666666666666667
2024-05-11T23:30:00Z,3.5,77,-167,2024-05-11T23:00:00Z,7.666666666666667
2024-05-12T00:30:00Z,0.5,63,-150,2024-05-12T00:00:00Z,6.333333333333333
2024-05-12T01:30:00Z,-4.9,63,-142,2024-05-12T01:00:00Z,6.333333333333333
2024-05-12T02:30:00Z,-3.2,63,-135,2024-05-12T02:00:00Z,6.333333333333333
2024-05-12T03:30:00Z,2.2,70,-138,2024-05-12T03:00:00Z,7.0
2024-05-12T04:30:00Z,1.9,70,-138,2024-05-12T04:00:00Z,7.0
2024-05-12T05:30:00Z,3.0,70,-143,2024-05-12T05:00:00Z,7.0
2024-05-12T06:30:00Z,2.8,37,-132,2024-05-12T06:00:00Z,3.6666666666666665
2024-05-12T07:30:00Z,1.8,37,-132,2024-05-12T07:00:00Z,3.6666666666666665
2024-05-12T08:30:00Z,1.0,37,-131,2024-05-12T08:00:00Z,3.6666666666666665
2024-05-12T09:30:00Z,1.0,43,-114,2024-05-12T09:00:00Z,4.333333333333333
2024-05-12T10:30:00Z,5.3,43,-104,2024-05-12T10:00:00Z,4.333333333333333
2024-05-12T11:30:00Z,4.4,43,-108,2024-05-12T11:00:00Z,4.333333333333333
2024-05-12T12:30:00Z,3.5,20,-108,2024-05-12T12:00:00Z,2.0
2024-05-12T13:30:00Z,2.9,20,-104,2024-05-12T13:00:00Z,2.0
2024-05-12T14:30:00Z,0.1,20,-102,2024-05-12T14:00:00Z,2.0
2024-05-12T15:30:00Z,1.0,30,-96,2024-05-12T15:00:00Z,3.0
2024-05-12T16:30:00Z,2.0,30,-97,2024-05-12T16:00:00Z,3.0
2024-05-12T17:30:00Z,1.9,30,-93,2024-05-12T17:00:00Z,3.0
2024-05-12T18:30:00Z,0.9,40,-87,2024-05-12T18:00:00Z,4.0
2024-05-12T19:30:00Z,1.2,40,-82,2024-05-12T19:00:00Z,4.0
2024-05-12T20:30:00Z,-1.5,40,-75,2024-05-12T20:00:00Z,4.0
2024-05-12T21:30:00Z,-4.9,63,-77,2024-05-12T21:00:00Z,6.333333333333333
2024-05-12T22:30:00Z,-1.7,63,-86,2024-05-12T22:00:00Z,6.333333333333333
2024-05-12T23:30:00Z,3.2,63,-81,2024-05-12T23:00:00Z,6.333333333333333
