Time,IMF_Bz_nT,Kp_code,Dst_nT,PlotTime,Kp
2024-12-31T00:30:00Z,1.9,3,6,2024-12-31T00:00:00Z,0.3333333333333333
2024-12-31T01:30:00Z,1.2,3,6,2024-12-31T01:00:00Z,0.3333333333333333
2024-12-31T02:30:00Z,2.2,3,3,2024-12-31T02:00:00Z,0.3333333333333333
2024-12-31T03:30:00Z,2.6,7,0,2024-12-31T03:00:00Z,0.6666666666666666
2024-12-31T04:30:00Z,-2.2,7,3,2024-12-31T04:00:00Z,0.6666666666666666
2024-12-31T05:30:00Z,-4.0,7,3,2024-12-31T05:00:00Z,0.6666666666666666
2024-12-31T06:30:00Z,-3.5,17,-1,2024-12-31T06:00:00Z,1.6666666666666665
2024-12-31T07:30:00Z,-1.3,17,-6,2024-12-31T07:00:00Z,1.6666666666666665
2024-12-31T08:30:00Z,-3.0,17,-5,2024-12-31T08:00:00Z,1.6666666666666665
2024-12-31T09:30:00Z,-3.0,13,-7,2024-12-31T09:00:00Z,1.3333333333333333
2024-12-31T10:30:00Z,-0.1,13,-10,2024-12-31T10:00:00Z,1.3333333333333333
2024-12-31T11:30:00Z,1.0,13,-8,2024-12-31T11:00:00Z,1.3333333333333333
2024-12-31T12:30:00Z,1.9,13,-9,2024-12-31T12:00:00Z,1.3333333333333333
2024-12-31T13:30:00Z,6.8,13,-7,2024-12-31T13:00:00Z,1.3333333333333333
2024-12-31T14:30:00Z,4.6,13,-4,2024-12-31T14:00:00Z,1.3333333333333333
2024-12-31T15:30:00Z,2.2,40,-3,2024-12-31T15:00:00Z,4.0
2024-12-31T16:30:00Z,1.4,40,14,2024-12-31T16:00:00Z,4.0
2024-12-31T17:30:00Z,1.1,40,17,2024-12-31T17:00:00Z,4.0
2024-12-31T18:30:00Z,1.8,40,14,2024-12-31T18:00:00Z,4.0
2024-12-31T19:30:00Z,-2.5,40,7,2024-12-31T19:00:00Z,4.0
2024-12-31T20:30:00Z,-7.4,40,-6,2024-12-31T20:00:00Z,4.0
2024-12-31T21:30:00Z,-4.4,40,-18,2024-12-31T21:00:00Z,4.0
2024-12-31T22:30:00Z,-5.7,40,-23,2024-12-31T22:00:00Z,4.0
2024-12-31T23:30:00Z,-3.1,40,-22,2024-12-31T23:00:00Z,4.0
2025-01-01T00:30:00Z,-1.0,40,-26,2025-01-01T00:00:00Z,4.0
2025-01-01T01:30:00Z,-3.2,40,-30,2025-01-01T01:00:00Z,4.0
2025-01-01T02:30:00Z,-2.9,40,-30,2025-01-01T02:00:00Z,4.0
2025-01-01T03:30:00Z,-1.1,53,-29,2025-01-01T03:00:00Z,5.333333333333333
2025-01-01T04:30:00Z,-8.3,53,-22,2025-01-01T04:00:00Z,5.333333333333333
2025-01-01T05:30:00Z,-8.5,53,-34,2025-01-01T05:00:00Z,5.333333333333333
2025-01-01T06:30:00Z,4.2,50,-41,2025-01-01T06:00:00Z,5.0
2025-01-01T07:30:00Z,9.3,50,-31,2025-01-01T07:00:00Z,5.0
2025-01-01T08:30:00Z,-2.8,50,-24,2025-01-01T08:00:00Z,5.0
2025-01-01T09:30:00Z,-12.3,60,-52,2025-01-01T09:00:00Z,6.0
2025-01-01T10:30:00Z,-11.9,60,-78,2025-01-01T10:00:00Z,6.0
2025-01-01T11:30:00Z,-17.1,60,-79,2025-01-01T11:00:00Z,6.0
2025-01-01T12:30:00Z,-20.8,67,-119,2025-01-01T12:00:00Z,6.666666666666667
2025-01-01T13:30:00Z,-20.5,67,-158,2025-01-01T13:00:00Z,6.666666666666667
2025-01-01T14:30:00Z,-21.0,67,-199,2025-01-01T14:00:00Z,6.666666666666667
2025-01-01T15:30:00Z,-20.5,80,-212,2025-01-01T15:00:00Z,8.0
2025-01-01T16:30:00Z,-21.5,80,-212,2025-01-01T16:00:00Z,8.0
2025-01-01T17:30:00Z,-7.3,80,-190,2025-01-01T17:00:00Z,8.0
2025-01-01T18:30:00Z,2.3,63,-156,2025-01-01T18:00:00Z,6.333333333333333
2025-01-01T19:30:00Z,-0.4,63,-136,2025-01-01T19:00:00Z,6.333333333333333
2025-01-01T20:30:00Z,-2.0,63,-133,2025-01-01T20:00:00Z,6.333333333333333
2025-01-01T21:30:00Z,-1.6,40,-148,2025-01-01T21:00:00Z,4.0
2025-01-01T22:30:00Z,1.7,40,-148,2025-01-01T22:00:00Z,4.0
2025-01-01T23:30:00Z,3.5,40,-138,2025-01-01T23:00:00Z,4.0
